"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","GO:0002250","adaptive immune response","207/4203","438/13465",0.472602739726027,1.51406040695003,7.36789388771784,7.15725711771656e-13,4.16480791679927e-09,3.72177370121261e-09,"GPR183/IGHG1/B2M/BRD4/CR1/GNL1/SLAMF7/TFE3/PKN1/HLX/PTPRC/HRAS/TLR8/TFRC/TRPM4/TNFRSF17/FCGR3B/HLA-DRA/TGFB1/KDM5D/CXCL13/IL1B/IRF4/OTUD7B/LAX1/HLA-DQA1/FCGR1A/IGLL5/TNFSF13B/SMAD7/RAPGEF3/CD80/RIPK2/ERCC1/LILRA3/CLEC4A/JAK2/TNFRSF14/CTSC/HLA-DPA1/FCGR2A/SAMSN1/ENTPD7/CLEC7A/CD86/SLAMF1/CD79A/BTLA/CTLA4/MALT1/SLAMF6/ALCAM/CTSS/DENND1B/KLHL22/TFEB/PAG1/CLEC4D/ATAD5/IL7R/LYN/FCER1G/HLA-DMB/PDCD1LG2/MAPK3/MCOLN2/CLCF1/CRTAM/LAMP3/HAVCR2/TXK/KLHL6/EXO1/ITK/CCR2/CLEC6A/IL6/IL10/IL18RAP/TCIRG1/TRAT1/CR1L/CD3D/CD274/CD244/PRDM1/PIK3CG/CD19/PRKCB/TYK2/HLA-DOB/CD27/FCGR3A/IFNG/TLR4/SIGLEC10/THEMIS/LEF1/HLA-DMA/FCGR2B/AGER/XCL1/BTK/CD84/EOMES/HLA-DPB1/BCL6/IL18/CTSH/LY9/CD69/TRAF2/CD28/HLA-DQB2/HLA-DOA/NOTCH1/TRAC/HLA-DQB1/IGHE/SIT1/IL18R1/AIRE/CR2/CARD9/CD247/SIPA1/ARG1/TAP1/ERAP2/TRAV12-1/KLRK1/IL23R/TRGC2/ICOSLG/LAT2/BATF/HLA-H/BTNL8/CD226/PRF1/CAMK4/C1QB/CD8A/LILRB5/LAIR1/CD3E/KLRC1/IRF1/TRA/TRDC/SYVN1/CD79B/BCL3/IL27RA/TNFRSF13C/TREM1/IL12A/ZAP70/TNFRSF13B/IL2RB/HLA-DRB1/CD3G/TRB/CD8B/SLA2/CD40LG/KLRC2/CD55/CCR6/ARG2/KLRD1/STAT4/FCRL4/CLEC4C/CLC/HPX/LTA/IRF7/ULBP1/C4BPB/IL4I1/SH2D1A/LILRB4/IL12RB1/IL12RB2/TNF/HLA-DRB4/ULBP2/GZMM/CCL19/TBX21/CD6/SKAP1/JAK3/IGHD/CD1A/BMX/IL1RL1/IL12B/CD1B/NLRP10/IL23A/IFNE/PRR7/HLA-DQA2/ZNF683/AICDA",207
"GO:0030098","GO:0030098","lymphocyte differentiation","190/4203","403/13465",0.471464019851117,1.51041233102434,7.00782421572285,8.40385609300685e-12,2.44510193026034e-08,2.18500258418178e-08,"HDAC5/GPR183/SMARCC2/B2M/BRD4/SART1/ZBTB7A/CR1/ARMC5/SLC4A2/STK11/PTPN2/ITPKB/NCAPH2/HDAC4/HLX/PTPRC/SOX13/ZMIZ1/ERBB2/HLA-DRA/TGFB1/PNP/GPR65/ABL1/DDRGK1/ITGA4/IL1B/SMARCA4/IRF4/DLL1/SOX12/TNFSF13B/SMAD7/CYP26B1/CD80/RIPK2/RARA/JAK2/PLA2G2D/ID2/EZH2/ICOS/BAD/ENTPD7/CD86/SLAMF1/CD79A/CTLA4/MALT1/ATG5/SLAMF6/CLEC4E/KAT2A/PIK3R2/DOCK10/ATM/CLEC4D/IL7R/AP3D1/NFIL3/FCER1G/IL2RG/INHA/POU2AF1/SRF/LIPA/CD83/RASGRP1/PPP2R3C/DNAJB9/XBP1/CLCF1/CRTAM/FCRL3/ITK/CCR2/PTPRJ/IL6/SLAMF8/FLT3LG/JAG2/TBK1/IKZF3/MEN1/LFNG/CD2/GAS6/IL10/HMGB3/AXL/TCIRG1/FOSL2/CD3D/PRDM1/TPD52/FANCD2/CD19/GLI2/SPIB/CD27/IFNG/TOX/POLM/KLHL25/THEMIS/BTN2A2/LEF1/TCF3/FZD9/FCGR2B/IL2RA/ZFPM1/FZD7/ZBTB16/BTK/IL7/IKZF1/GPR18/EOMES/FZD8/BCL6/ZEB1/SHB/IL18/LY9/CD69/CD28/HLA-DOA/MYB/IL18R1/AIRE/CR2/RHOH/PLCG2/SMARCD3/IL23R/ICOSLG/BCL11B/BATF/IL21/DOCK2/LAPTM5/DTX1/CAMK4/CFB/CD8A/LCK/CD3E/KLRC1/IRF1/SYVN1/CD79B/BCL3/IL12A/PTPN22/ZAP70/IRF8/HLA-DRB1/CD3G/CD40LG/BMP4/VCAM1/CCR6/BLNK/STAT4/WNT10B/KIT/IL4I1/LILRB4/IL12RB1/IL12RB2/TESPA1/FLT3/SPINK5/CCL19/EGR1/IL1A/TBX21/JAK3/ADAM8/IL12B/TNFRSF9/TYRO3/IL23A/CCR7/PRR7/ZNF683/AICDA/LY6D",190
"GO:0051249","GO:0051249","regulation of lymphocyte activation","218/4203","478/13465",0.456066945606695,1.46108527780018,6.91441021908345,1.35426681562151e-11,2.47000473186656e-08,2.20725633368382e-08,"SCRIB/GPR183/SMARCC2/EFNB1/B2M/BRD4/SART1/CR1/SLC4A2/MAD1L1/PTPN2/PKN1/ITPKB/HLX/IGF2/PTPRC/SOX13/TFRC/DLG5/MZB1/MNDA/ZMIZ1/ERBB2/HLA-DRA/TGFB1/CCDC88B/BLOC1S3/PNP/GPR65/ABL1/DDRGK1/IL1B/SMARCA4/IRF4/LAX1/HLA-DQA1/SOX12/TNFSF13B/SMAD7/CYP26B1/CD80/RIPK2/RARA/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/ID2/SAMSN1/ICOS/BAD/CLEC7A/CASP3/CD86/SLAMF1/BTLA/CTLA4/MALT1/KAT2A/ATM/BST1/KLHL22/PAG1/ATAD5/IL7R/AP3D1/LYN/IL2RG/INHA/HLA-DMB/RHBDD3/CD83/RASGRP1/PDCD1LG2/PPP2R3C/MAPK3/XBP1/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/SLAMF8/FLT3LG/IKZF3/CD2/GAS6/IL10/HMGB3/AXL/CD274/LST1/TIGIT/PRDM1/ZNF335/FANCD2/CD19/SIRPG/TYK2/HLA-DOB/CD276/GLI2/CD27/FCGR3A/GLMN/IFNG/TLR4/TOX/SLC39A10/KLHL25/BTN2A2/LEF1/HLA-DMA/TCF3/FCGR2B/AGER/DCAF15/SRC/IL2RA/VSIG4/XCL1/ZBTB16/BTK/IL7/IDO1/CCL2/HLA-DPB1/IRS2/BCL6/ZEB1/DOCK8/SHB/IL18/CD69/KLRC3/CD28/VAV3/HLA-DQB2/HLA-DOA/CCL5/HLA-DQB1/SIT1/RHOH/SMARCD3/ARG1/KLRK1/IL23R/ICOSLG/NFATC2/BATF/IL21/LAPTM5/DTX1/IGFBP2/CAMK4/CLEC12A/LCK/AIF1/PAWR/CD3E/KLRC1/IRF1/CLNK/IL27RA/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/TNFSF14/HLA-DRB1/TBC1D10C/CD40LG/BMP4/KLRC2/CD55/VCAM1/ARG2/KLRD1/LRRC32/CLC/WNT10B/IL4I1/LILRB4/IL12RB1/HLA-DRB4/CTSG/TESPA1/SPINK5/CCL19/TAC1/CD22/IL1A/TBX21/CD6/JAK3/ADAM8/TSPAN32/IL12B/TNFRSF9/ADORA2A/TYRO3/GAL/IL23A/CCR7/WNT3A/HLA-DQA2/ZNF683/TMIGD2/DAPL1",218
"GO:1903131","GO:1903131","mononuclear cell differentiation","222/4203","491/13465",0.45213849287169,1.44849983500293,6.81993829089446,2.43504450750161e-11,2.47000473186656e-08,2.20725633368382e-08,"HDAC5/RXRA/GPR183/SMARCC2/B2M/BRD4/SART1/ZBTB7A/CR1/ARMC5/SLC4A2/STK11/HSF1/CSF1/PTPN2/MYH9/ITPKB/NCAPH2/HDAC4/HLX/PTPRC/SOX13/FASN/ZMIZ1/ERBB2/HLA-DRA/TGFB1/UBD/PNP/GPR65/ABL1/DDRGK1/ITGA4/IL1B/SMARCA4/IRF4/DLL1/SOX12/TLR2/TNFSF13B/SMAD7/CYP26B1/CD80/RIPK2/RARA/JAK2/PLA2G2D/ID2/EZH2/ICOS/BAD/ENTPD7/CD86/SLAMF1/CD79A/CTLA4/MALT1/ATG5/SLAMF6/CLEC4E/KAT2A/PIK3R2/DOCK10/ATM/CLEC4D/IL7R/AP3D1/NFIL3/LYN/FCER1G/IL2RG/INHA/POU2AF1/SRF/LIPA/CD83/RASGRP1/PPP2R3C/JUN/DNAJB9/XBP1/CLCF1/CRTAM/HOXA7/RB1/FCRL3/ITK/CCR2/PTPRJ/IL6/SLAMF8/FLT3LG/JAG2/TBK1/IKZF3/MEN1/LFNG/CD2/GAS6/IL10/HMGB3/AXL/TCIRG1/FOSL2/CD3D/VEGFA/PRDM1/TPD52/FANCD2/CD19/GLI2/SPIB/CD27/IFNG/TLR4/TOX/POLM/KLHL25/THEMIS/BTN2A2/ARID3C/LEF1/TCF3/FZD9/FCGR2B/DIAPH3/AGER/IL2RA/ZFPM1/FZD7/ZBTB16/BTK/IL7/IKZF1/GPR18/EOMES/FZD8/ZBTB46/BCL6/ZEB1/SHB/IL18/LY9/CD69/CD28/HLA-DOA/CEBPA/F2RL1/MYB/IGHE/IL18R1/AIRE/CR2/RHOH/MFSD8/PLCG2/SMARCD3/PDE1B/MT1G/IL23R/ICOSLG/BCL11B/BATF/IL21/DOCK2/LAPTM5/DTX1/CAMK4/CLEC12A/CFB/CD8A/LCK/CD3E/KLRC1/IRF1/SYVN1/TMEM176B/PDE2A/CD79B/BCL3/IL12A/PTPN22/ZAP70/IRF8/HLA-DRB1/CD3G/CD40LG/BMP4/VCAM1/CCR6/GATA2/BLNK/STAT4/WNT10B/IRF7/IL34/KIT/IL4I1/LILRB4/IL12RB1/IL12RB2/TSPAN2/TESPA1/FLT3/SPINK5/CCL19/EGR1/IL1A/TBX21/JAK3/ADAM8/IL1RL1/IL12B/TNFRSF9/TYRO3/IL23A/DCSTAMP/CCR7/PRR7/ZNF683/AICDA/LY6D",222
"GO:0046651","GO:0046651","lymphocyte proliferation","139/4203","277/13465",0.501805054151625,1.60761481183717,6.88324337722788,2.48844323853318e-11,2.47000473186656e-08,2.20725633368382e-08,"SCRIB/GPR183/EFNB1/CR1/ARMC5/SLC4A2/MAD1L1/PKN1/IGF2/PTPRC/TFRC/DLG5/MZB1/MNDA/ERBB2/TGFB1/CCDC88B/PNP/ABL1/IL1B/TNFSF13B/CD80/RIPK2/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/CASP3/CD86/SLAMF1/CD79A/BTLA/CTLA4/MALT1/CD180/ATM/BST1/ATAD5/IL7R/LYN/HLA-DMB/LIPA/RASGRP1/PDCD1LG2/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/FLT3LG/IKZF3/IL10/FOSL2/CD274/LST1/HELLS/ZNF335/PIK3CG/CD19/TYK2/CD276/FCGR3A/GLMN/TLR4/SLC39A10/BTN2A2/LEF1/TCF3/FCGR2B/AGER/IL2RA/VSIG4/GAPT/XCL1/BTK/IL7/IDO1/HLA-DPB1/IRS2/BCL6/DOCK8/SHB/IL18/CD28/VAV3/CCL5/IGHE/CR2/ARG1/IL23R/ICOSLG/NFATC2/IL21/DOCK2/LAPTM5/IGFBP2/AIF1/PAWR/CD3E/IRF1/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/TNFSF14/HLA-DRB1/CD40LG/BMP4/CD55/VCAM1/ARG2/LRRC32/CLC/IL4I1/LILRB4/IL12RB1/FLT3/CCL19/TAC1/CD22/IL1A/CD6/TSPAN32/SH2D2A/IL12B/TNFRSF9/GAL/IL23A/WNT3A/TMIGD2",139
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","117/4203","223/13465",0.524663677130045,1.68084616049395,6.90619744692749,2.54683423117364e-11,2.47000473186656e-08,2.20725633368382e-08,"SCRIB/GPR183/EFNB1/CR1/SLC4A2/MAD1L1/PKN1/IGF2/PTPRC/TFRC/DLG5/MZB1/MNDA/ERBB2/TGFB1/CCDC88B/PNP/IL1B/TNFSF13B/CD80/RIPK2/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/CASP3/CD86/SLAMF1/BTLA/CTLA4/ATM/BST1/ATAD5/LYN/HLA-DMB/PDCD1LG2/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/FLT3LG/IKZF3/IL10/CD274/LST1/ZNF335/TYK2/CD276/FCGR3A/GLMN/TLR4/SLC39A10/BTN2A2/TCF3/FCGR2B/AGER/IL2RA/VSIG4/XCL1/BTK/IL7/IDO1/HLA-DPB1/IRS2/BCL6/IL18/CD28/VAV3/CCL5/ARG1/IL23R/ICOSLG/NFATC2/IL21/LAPTM5/IGFBP2/AIF1/PAWR/CD3E/IRF1/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/HLA-DRB1/CD40LG/BMP4/CD55/VCAM1/ARG2/LRRC32/CLC/IL4I1/LILRB4/IL12RB1/CCL19/TAC1/CD22/IL1A/CD6/TSPAN32/IL12B/TNFRSF9/GAL/IL23A/WNT3A/TMIGD2",117
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","118/4203","226/13465",0.52212389380531,1.672709547963,6.87018731854933,3.15994032471667e-11,2.5219538139287e-08,2.25367929754756e-08,"SCRIB/GPR183/EFNB1/CR1/SLC4A2/MAD1L1/CSF1/PKN1/IGF2/PTPRC/TFRC/DLG5/MZB1/MNDA/ERBB2/TGFB1/CCDC88B/PNP/IL1B/TNFSF13B/CD80/RIPK2/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/CASP3/CD86/SLAMF1/BTLA/CTLA4/ATM/BST1/ATAD5/LYN/HLA-DMB/PDCD1LG2/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/FLT3LG/IKZF3/IL10/CD274/LST1/ZNF335/TYK2/CD276/FCGR3A/GLMN/TLR4/SLC39A10/BTN2A2/TCF3/FCGR2B/AGER/IL2RA/VSIG4/XCL1/BTK/IL7/IDO1/HLA-DPB1/IRS2/BCL6/IL18/CD28/VAV3/CCL5/ARG1/IL23R/ICOSLG/NFATC2/IL21/LAPTM5/IGFBP2/AIF1/PAWR/CD3E/IRF1/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/HLA-DRB1/CD40LG/BMP4/CD55/VCAM1/ARG2/LRRC32/CLC/IL4I1/LILRB4/IL12RB1/CCL19/TAC1/CD22/IL1A/CD6/TSPAN32/IL12B/TNFRSF9/GAL/IL23A/WNT3A/TMIGD2",118
"GO:0032943","GO:0032943","mononuclear cell proliferation","141/4203","283/13465",0.498233215547703,1.59617184091121,6.8279193290432,3.46719891930393e-11,2.5219538139287e-08,2.25367929754756e-08,"SCRIB/GPR183/EFNB1/CR1/ARMC5/SLC4A2/MAD1L1/CSF1/PKN1/IGF2/PTPRC/TFRC/DLG5/MZB1/MNDA/ERBB2/TGFB1/CCDC88B/PNP/ABL1/IL1B/TNFSF13B/CD80/RIPK2/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/CASP3/CD86/SLAMF1/CD79A/BTLA/CTLA4/MALT1/CD180/ATM/BST1/ATAD5/IL7R/LYN/HLA-DMB/LIPA/RASGRP1/PDCD1LG2/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/FLT3LG/TBK1/IKZF3/IL10/FOSL2/CD274/LST1/HELLS/ZNF335/PIK3CG/CD19/TYK2/CD276/FCGR3A/GLMN/TLR4/SLC39A10/BTN2A2/LEF1/TCF3/FCGR2B/AGER/IL2RA/VSIG4/GAPT/XCL1/BTK/IL7/IDO1/HLA-DPB1/IRS2/BCL6/DOCK8/SHB/IL18/CD28/VAV3/CCL5/IGHE/CR2/ARG1/IL23R/ICOSLG/NFATC2/IL21/DOCK2/LAPTM5/IGFBP2/AIF1/PAWR/CD3E/IRF1/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/TNFSF14/HLA-DRB1/CD40LG/BMP4/CD55/VCAM1/ARG2/LRRC32/CLC/IL4I1/LILRB4/IL12RB1/FLT3/CCL19/TAC1/CD22/IL1A/CD6/TSPAN32/SH2D2A/IL12B/TNFRSF9/GAL/IL23A/WNT3A/TMIGD2",141
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","124/4203","247/13465",0.502024291497976,1.60831717464198,6.49995034731319,2.84796801734404e-10,1.84136954365833e-07,1.64549263224322e-07,"SCRIB/GPR183/EFNB1/CR1/SLC4A2/MAD1L1/CSF1/PKN1/IGF2/PTPRC/TFRC/DLG5/MZB1/MNDA/ERBB2/TGFB1/CCDC88B/PNP/IL1B/TNFSF13B/CD80/RIPK2/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/CASP3/CD86/SLAMF1/BTLA/CTLA4/ATM/BST1/ATAD5/LYN/HLA-DMB/PDCD1LG2/MAPK3/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/FLT3LG/IKZF3/IL10/CD274/LST1/ZNF335/TYK2/CCL8/CD276/FCGR3A/GLMN/TLR4/SLC39A10/BTN2A2/TCF3/FCGR2B/AGER/IL2RA/VSIG4/XCL1/BTK/IL7/IDO1/HLA-DPB1/IRS2/BCL6/IL18/CD28/VAV3/CCL5/CSF2RA/ARG1/IL23R/ICOSLG/NFATC2/IL21/LAPTM5/IGFBP2/AIF1/PAWR/CD3E/IRF1/IL5RA/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/HLA-DRB1/CD40LG/BMP4/CD55/VCAM1/ARG2/LRRC32/CLC/IL34/KIT/IL4I1/LILRB4/IL12RB1/CCL19/TAC1/CD22/IL1A/CD6/TSPAN32/IL12B/TNFRSF9/GAL/IL23A/WNT3A/TMIGD2",124
"GO:0070661","GO:0070661","leukocyte proliferation","150/4203","314/13465",0.477707006369427,1.53041276249449,6.40639567965509,4.21607015122241e-10,2.45333122099632e-07,2.19235647863566e-07,"SCRIB/GPR183/EFNB1/CR1/ARMC5/SLC4A2/MAD1L1/CSF1/PKN1/IGF2/PTPRC/TFRC/DLG5/MZB1/MNDA/ERBB2/TGFB1/CCDC88B/PNP/ABL1/IL1B/TNFSF13B/CD80/RIPK2/JAK2/TNFRSF14/PLA2G2D/NCK1/TICAM1/HLA-DPA1/CASP3/CD86/SLAMF1/CD79A/BTLA/CTLA4/MALT1/CD180/ATM/BST1/ATAD5/IL7R/LYN/HLA-DMB/LIPA/RASGRP1/PDCD1LG2/MAPK3/MAPK8IP1/CLCF1/CRTAM/HAVCR2/FCRL3/CCR2/IL6/FLT3LG/TBK1/IKZF3/IL10/TCIRG1/FOSL2/CD274/LST1/HELLS/ZNF335/PIK3CG/CD19/TYK2/CCL8/CD276/FCGR3A/GLMN/TLR4/CX3CL1/SLC39A10/BTN2A2/LEF1/TCF3/FCGR2B/AGER/IL2RA/VSIG4/GAPT/XCL1/BTK/IL7/IDO1/HLA-DPB1/IRS2/BCL6/DOCK8/SHB/IL18/CD28/VAV3/CCL5/F2RL1/IGHE/CR2/CSF2RA/ARG1/IL23R/ICOSLG/NFATC2/IL21/DOCK2/LAPTM5/IGFBP2/AIF1/PAWR/CD3E/IRF1/IL5RA/TYROBP/TNFRSF13C/CLECL1/RAC2/IL12A/PRLR/PTPN22/ZAP70/TNFRSF13B/TNFSF14/HLA-DRB1/CD40LG/BMP4/CD55/VCAM1/ARG2/LRRC32/CLC/IL34/KIT/IL4I1/LILRB4/IL12RB1/FLT3/CCL19/TAC1/CD22/IL1A/CD6/TSPAN32/SH2D2A/IL12B/TNFRSF9/GAL/IL23A/WNT3A/TMIGD2",150
