"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","GO:0009897","external side of plasma membrane","164/4419","334/14079",0.491017964071856,1.56439056713457,7.06032228577333,6.78448132001185e-12,4.6948610734482e-09,4.42062519693404e-09,"B2M/FCRL5/SLAMF7/CXCR2/ABCC4/CXCR1/PTPRC/TLR8/TFRC/FCGR3B/CXCL10/CCR10/TMEM123/EPOR/SELL/ATP1B2/CD248/SELE/CXCL9/FCGR1A/CD80/IL11RA/CLEC4A/TNFRSF14/ENTPD1/CCRL2/FCGR2A/ATP6AP2/CD86/SLAMF1/CD79A/CTLA4/SLAMF6/ALCAM/BCAM/CLEC4E/LRRC24/ECE1/DAG1/CLEC4D/IL7R/FCER1G/IL2RG/CXCR6/SLC38A1/CD83/PDCD1LG2/CD200R1/AMOT/FCRLA/IL21R/FAS/FCRL3/ROBO4/CCR2/CLEC6A/LY75/CD2/CXCR4/RTN4RL2/SDC1/CD3D/CD274/CD244/CD19/SLC4A3/CD276/CD27/FCGR3A/TLR4/BTN2A2/CLEC2D/CCR1/CCR4/FCGR2B/IL2RA/FCN1/GPIHBP1/FCGRT/CD84/ITGA3/CCR5/ANTXR1/LY9/CD69/KLRC3/CD28/FASLG/CTSK/CSF2RA/SLC2A4/KLRK1/IL23R/TRGC2/GP1BA/ICOSLG/HLA-H/THBD/FCRL2/CTSB/BTNL8/CD226/CLEC17A/CD8A/SCNN1A/CD3E/KLRC1/CNTFR/CD163/ITGA2/CD79B/IL5RA/TNFRSF13C/PRLR/BTNL9/IL2RB/FOLR3/HLA-DRB1/CD3G/CD40LG/KLRC2/VCAM1/CCR6/SCUBE1/ADAM21/KLRD1/FCRL4/CLEC4C/ULBP1/MCAM/CLEC12B/KIT/COLEC11/IL12RB1/IL12RB2/TNF/GPC4/GFRA1/GFRA3/ULBP2/CRLF1/PRND/SERPINA5/FGF8/CEACAM21/SLC7A5/CD22/P2RX1/CHRNA4/CD1A/IL1RL1/STAB2/MUC16/CD1B/F10/TNFRSF9/KLRC4/CXCR3/CA4/GRIA1/CCR7/BTN1A1/CRLF2/FCN2",164
"GO:0043235","GO:0043235","receptor complex","158/4419","361/14079",0.437673130193906,1.39443312966735,5.13482332407879,3.77764921331488e-07,0.000130706662780695,0.000123071834896943,"RXRA/B2M/FCRL5/LRP5/TAOK2/TFRC/TLR1/ERBB2/NOTCH3/ITGA4/GABBR1/TLR2/TRIL/GPRC5C/IL11RA/PLXNA3/GPR84/JAK2/CHUK/CD79A/OLFM2/DDR1/EMILIN1/ALCAM/PLXNB2/TRADD/FGFR1/ALK/LYN/IL2RG/DDR2/CD200R1/BIRC2/ITGA7/LRP1/PLXNA1/IL6/FGFR4/TLR10/IL18RAP/AXL/TRAT1/CR1L/GPR160/CD3D/TLR7/LY96/TLR6/TYK2/FLNA/GRIN2C/P2RX6/GRIK5/TLR4/CACNG8/PLXNB3/ITGB5/PLXNC1/IL2RA/PLXND1/ITGA3/NPR1/SHISA9/KLRC3/TRAF2/NOTCH1/VWC2/TRAC/BMP2/ITLN1/ADRA2A/CNIH2/IGHE/IL18R1/PLXNB1/CR2/GRIK4/CSF2RA/CD247/GPRC5B/TRAV12-1/IL23R/TRGC2/GP1BA/SHISA6/GPR20/PTH1R/IRS1/EPHB4/RAMP3/TM7SF2/CD8A/ITGB4/CD3E/KLRC1/TRA/ADCYAP1R1/TRDC/ITGAL/CNTFR/PDGFRB/RAMP1/ITGA2/AHRR/CD79B/IL5RA/PRLR/ZAP70/IL2RB/CD3G/TRB/CD8B/KLRC2/GRIN3B/KLRD1/GP9/EPHA2/TIE1/GABRR2/GRID1/RET/ITGA8/AMHR2/GABRP/HTR1B/KIT/IL12RB1/IL12RB2/EPHA1/ITGB7/GFRA1/GFRA3/CRLF1/OLR1/FLT3/VIPR1/GPR37L1/CD6/SKAP1/GRIK3/TSPAN32/CHRNA4/GRIN2B/GRIA4/ABCG5/TSHR/TYRO3/INSRR/TAS1R3/GRIA1/KCTD8/IFNLR1/CRLF2/OLFM3/GPR37/CHRNA6/HTR3A/SHISA8",158
"GO:0030312","GO:0030312","external encapsulating structure","175/4419","417/14079",0.419664268585132,1.33705662761034,4.72560781612426,2.47639992828202e-06,0.000496725031080277,0.00046771036543762,"SRGN/COL27A1/S100A9/GPC1/LTBP3/ADAMTS7/SSC5D/COL18A1/COL6A1/ADAMDEC1/COL6A2/LTBP4/ADAMTS13/SEMA3B/TNXB/LAMA5/MMP1/AGRN/COL11A2/CSPG4/COL5A3/PDGFB/TGFB1/MFAP4/FGFBP3/CD248/S100A8/MMP13/LAMB2/COL7A1/COL16A1/ADAMTSL2/MMP3/HSPG2/COL9A2/LMAN1/ENTPD1/COLQ/CTSC/ADAMTS10/CHADL/TGFB1I1/EMILIN1/BCAM/ADAMTSL4/DAG1/CTSS/COL4A2/TIMP2/FLRT1/ELANE/KAZALD1/CHI3L1/COL5A1/VEGFA/MUC6/SPON2/ADAM11/VWA1/PODN/PKHD1L1/NAV2/PAPLN/ADAMTSL5/MMRN1/LUM/FCN1/SNED1/TINAGL1/COL8A2/PCOLCE/SERPINB9/VWA2/MUC4/ENTPD2/IL7/DGCR6/MUC5B/WNT6/ELN/FBLN2/MMP15/LAMB3/CTSH/SERPINE2/PI3/POSTN/BGN/VWC2/TGFB3/HAPLN2/F13A1/COL1A1/FBLN1/COL25A1/DSPP/HPSE/MMP12/ANGPTL2/COL4A1/SERPINA1/TGM2/LGALS3BP/WNT11/CTSB/HRNR/LAMC3/COL17A1/OLFML2A/MST1/COL22A1/C1QB/COL23A1/FBN3/TNN/COL13A1/ITGB4/CTSZ/COL26A1/HAPLN4/NTN1/ADAMTS15/COL6A5/ADAMTS17/CPA3/CTHRC1/MMP17/MMP24/ADAMTS8/PRELP/F12/CMA1/GDF10/LEFTY2/CLC/HPX/AEBP1/ADAMTS4/MMP25/ITIH5/COL1A2/GDF15/PODNL1/APOE/MUC2/ADAMTS6/ADAMTS18/MATN1/AMTN/SERPINA5/CTSG/SFRP2/ITIH1/VTN/DMBT1/MATN4/FCGBP/PCSK6/ANGPT4/COL9A1/COL4A6/RELN/MMP7/BCAN/FLRT3/ACHE/ACAN/FCN2/COL10A1/FLG/MMP8/CBLN1/TNR/ANXA8/LAMB4",175
"GO:0031012","GO:0031012","extracellular matrix","174/4419","416/14079",0.418269230769231,1.33261201629328,4.65752810344081,3.37505277644235e-06,0.000496725031080277,0.00046771036543762,"SRGN/COL27A1/S100A9/GPC1/LTBP3/ADAMTS7/SSC5D/COL18A1/COL6A1/ADAMDEC1/COL6A2/LTBP4/ADAMTS13/SEMA3B/TNXB/LAMA5/MMP1/AGRN/COL11A2/CSPG4/COL5A3/PDGFB/TGFB1/MFAP4/FGFBP3/CD248/S100A8/MMP13/LAMB2/COL7A1/COL16A1/ADAMTSL2/MMP3/HSPG2/COL9A2/LMAN1/ENTPD1/COLQ/CTSC/ADAMTS10/CHADL/TGFB1I1/EMILIN1/BCAM/ADAMTSL4/DAG1/CTSS/COL4A2/TIMP2/FLRT1/ELANE/KAZALD1/CHI3L1/COL5A1/VEGFA/MUC6/SPON2/ADAM11/VWA1/PODN/NAV2/PAPLN/ADAMTSL5/MMRN1/LUM/FCN1/SNED1/TINAGL1/COL8A2/PCOLCE/SERPINB9/VWA2/MUC4/ENTPD2/IL7/DGCR6/MUC5B/WNT6/ELN/FBLN2/MMP15/LAMB3/CTSH/SERPINE2/PI3/POSTN/BGN/VWC2/TGFB3/HAPLN2/F13A1/COL1A1/FBLN1/COL25A1/DSPP/HPSE/MMP12/ANGPTL2/COL4A1/SERPINA1/TGM2/LGALS3BP/WNT11/CTSB/HRNR/LAMC3/COL17A1/OLFML2A/MST1/COL22A1/C1QB/COL23A1/FBN3/TNN/COL13A1/ITGB4/CTSZ/COL26A1/HAPLN4/NTN1/ADAMTS15/COL6A5/ADAMTS17/CPA3/CTHRC1/MMP17/MMP24/ADAMTS8/PRELP/F12/CMA1/GDF10/LEFTY2/CLC/HPX/AEBP1/ADAMTS4/MMP25/ITIH5/COL1A2/GDF15/PODNL1/APOE/MUC2/ADAMTS6/ADAMTS18/MATN1/AMTN/SERPINA5/CTSG/SFRP2/ITIH1/VTN/DMBT1/MATN4/FCGBP/PCSK6/ANGPT4/COL9A1/COL4A6/RELN/MMP7/BCAN/FLRT3/ACHE/ACAN/FCN2/COL10A1/FLG/MMP8/CBLN1/TNR/ANXA8/LAMB4",174
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","82/4419","171/14079",0.47953216374269,1.52779663573961,4.69652079721976,3.96949771983428e-06,0.000496725031080277,0.00046771036543762,"B2M/TFRC/TLR1/ERBB2/ITGA4/GABBR1/TLR2/JAK2/CHUK/CD79A/OLFM2/EMILIN1/ALCAM/LYN/BIRC2/ITGA7/IL6/IL18RAP/TRAT1/CD3D/TLR6/TYK2/FLNA/GRIN2C/GRIK5/CACNG8/ITGB5/IL2RA/ITGA3/SHISA9/TRAF2/VWC2/TRAC/BMP2/CNIH2/IGHE/IL18R1/GRIK4/CSF2RA/CD247/TRAV12-1/IL23R/TRGC2/GP1BA/SHISA6/IRS1/RAMP3/CD8A/ITGB4/CD3E/TRA/TRDC/ITGAL/CNTFR/RAMP1/ITGA2/CD79B/ZAP70/IL2RB/CD3G/TRB/CD8B/GRIN3B/GP9/GRID1/ITGA8/IL12RB1/ITGB7/CD6/SKAP1/GRIK3/TSPAN32/CHRNA4/GRIN2B/GRIA4/INSRR/GRIA1/IFNLR1/OLFM3/CHRNA6/HTR3A/SHISA8",82
"GO:0032589","GO:0032589","neuron projection membrane","30/4419","47/14079",0.638297872340426,2.03362655457815,4.80061322355027,4.61977852573682e-06,0.000496725031080277,0.00046771036543762,"PPP1R9B/STX4/KCNC4/GABBR1/CLCN2/ATP6AP2/MAPT/MYO1C/DAGLA/SPTBN1/CACNG8/PKHD1L1/SLC9A5/TRPV1/SHISA9/LAMP5/AKAP5/SHISA6/ADORA1/MPP2/SLC12A5/ITGA8/KCNB1/UNC5A/KCNC1/ADORA2A/GRIA1/CNTNAP2/HCN1/SHISA8",30
"GO:0001533","GO:0001533","cornified envelope","29/4419","45/14079",0.644444444444444,2.05320962510372,4.78601723465999,5.0246751698872e-06,0.000496725031080277,0.00046771036543762,"HSPB1/DSC2/PPL/CAPN1/TCHH/KRT2/DSC1/DSG1/JUP/DSC3/KAZN/SERPINB5/KRT1/KRT14/KRT10/PI3/HRNR/CSTA/DSP/FLG2/EVPL/SCEL/DSG3/PKP3/CST6/KRT77/SERPINB2/FLG/KRT17",29
"GO:0042613","GO:0042613","MHC class II protein complex","14/4419","17/14079",0.823529411764706,2.62377700571063,4.53076168276546,2.14484851079236e-05,0.00185529396183539,0.00174692266865851,"B2M/HLA-DRA/HLA-DQA1/HLA-DPA1/HLA-DMB/HLA-DOB/HLA-DMA/HLA-DPB1/HLA-DQB2/HLA-DOA/HLA-DQB1/HLA-DRB1/HLA-DRB4/HLA-DQA2",14
"GO:0032591","GO:0032591","dendritic spine membrane","11/4419","12/14079",0.916666666666667,2.92051369088029,4.50143729491831,2.46999364967504e-05,0.00189915067286126,0.0017882176247355,"PPP1R9B/CLCN2/ATP6AP2/DAGLA/SLC9A5/TRPV1/SHISA9/SHISA6/ITGA8/GRIA1/SHISA8",11
"GO:0005581","GO:0005581","collagen trimer","39/4419","71/14079",0.549295774647887,1.75006454203838,4.28532398151898,3.22942293977671e-05,0.00223476067432548,0.00210422399970714,"COL27A1/COL18A1/COL6A1/COL6A2/COL11A2/COL5A3/COL7A1/EDA/COL16A1/COL9A2/COLQ/C1QTNF1/EMILIN1/COL4A2/MSR1/COL5A1/LUM/SCARA3/FCN1/COL8A2/COL1A1/COL25A1/COL4A1/COL17A1/COL22A1/C1QB/COL23A1/COL13A1/COL26A1/COL6A5/CTHRC1/COL1A2/COLEC11/C1QTNF8/COL9A1/COL4A6/C1QTNF9/FCN2/COL10A1",39
