"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030545","GO:0030545","signaling receptor regulator activity","187/4288","400/13841",0.4675,1.50901760727612,6.9210590526671,1.52095365032572e-11,1.70955190296611e-08,1.60260484629058e-08,"MTRNR2L8/VEGFB/CSF1/TNFSF12/SEMA3B/MTRNR2L2/OSGIN1/IGF2/CCL18/LAMA5/AMH/CXCL10/LYNX1/PDGFB/TGFB1/DGKQ/CXCL13/RABEP2/IL1B/NBL1/CTF1/CLEC11A/CXCL9/DLL1/TNFSF13B/SEMA6C/EDA/CD80/CLEC2B/JAK2/SEMA4C/TNFRSF14/PNOC/CD86/CXCL11/NAMPT/CCL4/SPP1/LRPAP1/LYN/TNFSF10/IL1RN/INHA/CDC42EP2/CLCF1/CXCL5/MANF/IL6/FLT3LG/UCN/METRNL/JAG2/SEMA4F/CCL7/GAS6/IL10/METRN/CCL20/CD48/CD274/VEGFA/PRRT1/CCL8/CCL13/SEMA5B/FNDC5/CXCL1/IFNG/CKLF/CCL3/CX3CL1/IGFBP5/GDF11/SRC/XCL1/IL7/CCL2/XCL2/GMFG/HGF/WNT6/IL17D/CCL23/IL18/CXCL3/SEMA4B/FASLG/MTRNR2L1/CCL5/TGFB3/BMP2/ICOSLG/CXCL2/IL21/WNT11/NRTN/TGFA/WNT10A/IGFBP2/WFIKKN1/CLEC12A/SEMA4G/FBN3/NRG2/SEMA3G/OXT/PF4V1/WFIKKN2/ARTN/SEMA3C/IL12A/TNFSF14/LTB/CSPG5/CD40LG/BMP4/CCL17/BMP8B/MSMP/FGF17/GDF10/LEFTY2/WNT10B/LTA/ULBP1/FGF13/INHBB/CCL3L1/IL34/GREM2/CLEC12B/DKK2/GDF5/C1QTNF4/GDF15/LILRB4/TNF/HAMP/APOE/CMTM2/ULBP2/CRLF1/CTSG/CCL3L3/FST/IL26/SFRP2/CCL19/FGF8/LEFTY1/BMP8A/TAC1/EGF/IL1A/OSM/UTS2/PSCA/SEMA6B/IL12B/WNT16/IL36RN/ANGPT4/WNT9A/LYPD6B/LY6H/ADM2/ADCYAP1/RELN/INSL3/IGSF1/STC1/C1QTNF9/GAL/NTF3/IL23A/IFNE/SCT/EREG/VSTM1/WNT3A/FLRT3/FGF5/CCL24/CCL25/RETN/IL37/MRAP",187
"GO:0140375","GO:0140375","immune receptor activity","79/4288","140/13841",0.564285714285714,1.82142690565032,6.54458862492677,3.39054118911026e-10,1.90548414827997e-07,1.7862798580523e-07,"CR1/CXCR2/CXCR1/FPR1/FCGR3B/FPR2/CCR10/HLA-DRA/EPOR/HLA-DQA1/IL17RC/FCGR1A/IL11RA/LILRA3/HLA-DPA1/CCRL2/FCGR2A/GPR17/IL7R/FCER1G/IL2RG/CXCR6/CD200R1/IFNGR1/LILRA5/IL21R/C3AR1/CCR2/FPR3/IL18RAP/CXCR4/IL17RE/HLA-DOB/FCAR/FCGR3A/CCR1/CCR4/FCGR2B/IL2RA/KLRF1/CCR5/CTSH/HLA-DQB2/HLA-DOA/HLA-DQB1/IL18R1/CR2/CSF2RA/KLRK1/IL23R/LILRB5/KLRC1/CNTFR/IL5RA/IL27RA/GPR35/PRLR/IL2RB/HLA-DRB1/KLRC2/CCR6/KLRD1/C5AR2/LILRB4/IL12RB1/IL12RB2/NCR3/GFRA1/GFRA3/CRLF1/FLT3/LILRA4/IL1RL1/IL12B/CXCR3/CCR7/IFNLR1/CRLF2/HLA-DQA2",79
"GO:0030546","GO:0030546","signaling receptor activator activity","169/4288","368/13841",0.459239130434783,1.48235279952141,6.28321762898691,8.03902395103656e-10,2.4938702779204e-07,2.33785741543203e-07,"VEGFB/CSF1/TNFSF12/SEMA3B/OSGIN1/IGF2/CCL18/LAMA5/AMH/CXCL10/PDGFB/TGFB1/DGKQ/CXCL13/RABEP2/IL1B/NBL1/CTF1/CLEC11A/CXCL9/DLL1/TNFSF13B/SEMA6C/EDA/CD80/CLEC2B/JAK2/SEMA4C/TNFRSF14/PNOC/CD86/CXCL11/NAMPT/CCL4/SPP1/LRPAP1/LYN/TNFSF10/IL1RN/INHA/CDC42EP2/CLCF1/CXCL5/MANF/IL6/FLT3LG/UCN/METRNL/JAG2/SEMA4F/CCL7/GAS6/IL10/METRN/CCL20/CD48/CD274/VEGFA/CCL8/CCL13/SEMA5B/FNDC5/CXCL1/IFNG/CKLF/CCL3/CX3CL1/IGFBP5/GDF11/SRC/XCL1/IL7/CCL2/XCL2/GMFG/HGF/WNT6/IL17D/CCL23/IL18/CXCL3/SEMA4B/FASLG/CCL5/TGFB3/BMP2/ICOSLG/CXCL2/IL21/WNT11/NRTN/TGFA/WNT10A/SEMA4G/FBN3/NRG2/SEMA3G/OXT/PF4V1/ARTN/SEMA3C/IL12A/TNFSF14/LTB/CSPG5/CD40LG/BMP4/CCL17/BMP8B/MSMP/FGF17/GDF10/LEFTY2/WNT10B/LTA/ULBP1/FGF13/INHBB/CCL3L1/IL34/GREM2/GDF5/C1QTNF4/GDF15/TNF/HAMP/APOE/CMTM2/ULBP2/CRLF1/CTSG/CCL3L3/IL26/SFRP2/CCL19/FGF8/LEFTY1/BMP8A/TAC1/EGF/IL1A/OSM/UTS2/SEMA6B/IL12B/WNT16/IL36RN/ANGPT4/WNT9A/ADM2/ADCYAP1/RELN/INSL3/STC1/C1QTNF9/GAL/NTF3/IL23A/IFNE/SCT/EREG/VSTM1/WNT3A/FLRT3/FGF5/CCL24/CCL25/RETN/IL37",169
"GO:0005125","GO:0005125","cytokine activity","92/4288","173/13841",0.531791907514451,1.71654192908291,6.35386114431626,8.87498319544625e-10,2.4938702779204e-07,2.33785741543203e-07,"CSF1/TNFSF12/CCL18/CXCL10/TGFB1/CXCL13/IL1B/CTF1/CXCL9/TNFSF13B/EDA/CXCL11/NAMPT/CCL4/SPP1/TNFSF10/IL1RN/INHA/CLCF1/CXCL5/IL6/FLT3LG/CCL7/IL10/CCL20/VEGFA/CCL8/CCL13/CXCL1/IFNG/CKLF/CCL3/CX3CL1/GDF11/XCL1/IL7/CCL2/XCL2/WNT6/IL17D/CCL23/IL18/CXCL3/FASLG/CCL5/TGFB3/BMP2/CXCL2/IL21/WNT11/WNT10A/PF4V1/IL12A/TNFSF14/LTB/CD40LG/BMP4/CCL17/BMP8B/MSMP/GDF10/LEFTY2/WNT10B/LTA/INHBB/CCL3L1/IL34/GREM2/GDF5/C1QTNF4/GDF15/TNF/CMTM2/CRLF1/CCL3L3/IL26/CCL19/LEFTY1/BMP8A/IL1A/OSM/IL12B/WNT16/IL36RN/WNT9A/IL23A/IFNE/VSTM1/WNT3A/CCL24/CCL25/IL37",92
"GO:0048018","GO:0048018","receptor ligand activity","164/4288","358/13841",0.458100558659218,1.47867766613858,6.14776071604413,1.79221049704998e-09,4.02888919736837e-07,3.77684780536218e-07,"VEGFB/CSF1/TNFSF12/SEMA3B/OSGIN1/IGF2/CCL18/LAMA5/AMH/CXCL10/PDGFB/TGFB1/CXCL13/RABEP2/IL1B/NBL1/CTF1/CLEC11A/CXCL9/DLL1/TNFSF13B/SEMA6C/EDA/CD80/CLEC2B/SEMA4C/TNFRSF14/PNOC/CD86/CXCL11/NAMPT/CCL4/SPP1/LRPAP1/TNFSF10/IL1RN/INHA/CDC42EP2/CLCF1/CXCL5/MANF/IL6/FLT3LG/UCN/METRNL/JAG2/SEMA4F/CCL7/GAS6/IL10/METRN/CCL20/CD48/CD274/VEGFA/CCL8/CCL13/SEMA5B/FNDC5/CXCL1/IFNG/CKLF/CCL3/CX3CL1/IGFBP5/GDF11/XCL1/IL7/CCL2/XCL2/GMFG/HGF/WNT6/IL17D/CCL23/IL18/CXCL3/SEMA4B/FASLG/CCL5/TGFB3/BMP2/ICOSLG/CXCL2/IL21/WNT11/NRTN/TGFA/WNT10A/SEMA4G/FBN3/NRG2/SEMA3G/OXT/PF4V1/ARTN/SEMA3C/IL12A/TNFSF14/LTB/CSPG5/CD40LG/BMP4/CCL17/BMP8B/MSMP/FGF17/GDF10/LEFTY2/WNT10B/LTA/ULBP1/FGF13/INHBB/CCL3L1/IL34/GREM2/GDF5/C1QTNF4/GDF15/TNF/HAMP/APOE/CMTM2/ULBP2/CRLF1/CTSG/CCL3L3/IL26/SFRP2/CCL19/FGF8/LEFTY1/BMP8A/TAC1/EGF/IL1A/OSM/UTS2/SEMA6B/IL12B/WNT16/IL36RN/WNT9A/ADM2/ADCYAP1/RELN/INSL3/STC1/C1QTNF9/GAL/NTF3/IL23A/IFNE/SCT/EREG/VSTM1/WNT3A/FLRT3/FGF5/CCL24/CCL25/RETN/IL37",164
"GO:0004930","GO:0004930","G protein-coupled receptor activity","139/4288","310/13841",0.448387096774194,1.44732411531054,5.33658899287122,1.51977533552764e-07,2.84704579522179e-05,2.66893879098802e-05,"ZNF219/GPR183/CXCR2/CXCR1/FPR1/FPR2/CCR10/GPR85/DRD4/OXER1/GPR65/SPHK2/GABBR1/GPRC5C/LTB4R2/GPR84/MC1R/GPR153/CCRL2/GPR157/OR2A1/GPR17/TPRA1/CXCR6/LPAR6/TBXA2R/C3AR1/CCR2/SMO/ADRA1B/FPR3/MRGPRF/CELSR2/CXCR4/P2RY10/GPR160/GPR171/P2RY2/PTGIR/GPR179/CCR1/ADRA2C/CCR4/GPR174/FZD9/FFAR2/FZD7/GPR18/FZD8/AVPR2/NPR1/ADRA2B/CCR5/GPR34/GPR162/FZD10/GPR141/F2RL1/ADRA2A/GPR15/CYSLTR1/FZD6/P2RY13/SSTR5/SORCS2/FZD3/F2R/GPRC5B/PAX8/HRH2/GP1BA/P2RY4/ADORA1/VIPR2/GPR19/GPR20/PTH1R/PTGFR/RAMP3/NMUR1/PTGDR2/ADCYAP1R1/NPY6R/TAS2R46/PDGFRB/RAMP1/OPRL1/OR51E1/PTAFR/SPHK1/TAS2R19/GPR35/HTR6/AVPR1A/LPAR2/HCRTR1/P2RY12/GPR52/CCR6/OR3A1/GRID1/TAS2R43/C5AR2/SUCNR1/HTR1B/MRGPRE/GPR4/GALR1/ADRB1/ADRA1D/VIPR1/P2RY11/GPR37L1/OR2D2/CRHR2/P2RY8/OR6A2/GRIK3/GRM2/GPR55/RXFP1/MC4R/OPN4/TSHR/CXCR3/ADORA2A/GAL/TAS1R3/CHRM5/F2RL3/CCR7/HCAR1/HCAR3/SSTR1/PTGER1/OR13A1/GPR37/ADRA1A/OR2AK2",139
"GO:0008009","GO:0008009","chemokine activity","29/4288","43/13841",0.674418604651163,2.17691882158973,5.17843119559549,9.18305325657875e-07,0.000147453598005636,0.000138229117441133,"CCL18/CXCL10/CXCL13/CXCL9/CXCL11/CCL4/CXCL5/CCL7/CCL20/CCL8/CCL13/CXCL1/CKLF/CCL3/CX3CL1/XCL1/CCL2/XCL2/CCL23/CXCL3/CCL5/CXCL2/PF4V1/CCL17/CCL3L1/CCL3L3/CCL19/CCL24/CCL25",29
"GO:0042379","GO:0042379","chemokine receptor binding","35/4288","56/13841",0.625,2.01740321828358,5.11104000049494,1.10012311800921e-06,0.000154567298080294,0.00014489779488516,"NES/CCL18/CXCL10/CXCL13/CXCL9/CCRL2/CXCL11/CCL4/CXCL5/CCR2/CCL7/STAT1/CCL20/CCL8/CCL13/CXCL1/CKLF/CCL3/CX3CL1/XCL1/CCL2/XCL2/CCL23/CXCL3/CCL5/CXCL2/PF4V1/CCL17/MSMP/CCL3L1/CCL3L3/CCL19/S100A14/CCL24/CCL25",35
"GO:0005126","GO:0005126","cytokine receptor binding","96/4288","212/13841",0.452830188679245,1.46166572796395,4.53825729949981,7.38717396828277e-06,0.000873036142336108,0.000818420283272564,"NOL3/NES/TOLLIP/VEGFB/IRAK4/CSF1/TNFSF12/DAB2IP/CCL18/AMH/CXCL10/SMAD6/TGFB1/CXCL13/IL1B/CTF1/CXCL9/TNFSF13B/SMAD7/TRIP6/EDA/SPRED2/JAK2/CCRL2/CASP3/CXCL11/CCL4/TNFSF10/IL1RN/CLCF1/CXCL5/CCR2/IL6/CCL7/STAT1/IL10/CCL20/VEGFA/TYK2/CCL8/CCL13/CXCL1/IFNG/CKLF/SIVA1/CCL3/CX3CL1/USP15/XCL1/IL7/CCL2/XCL2/CCL23/IL18/TRAF2/CXCL3/STAP1/FASLG/CCL5/TGFB3/IL23R/CADM4/CXCL2/IL21/PF4V1/LRG1/IL12A/TNFSF14/LTB/CD40LG/CCL17/MSMP/LEFTY2/CD300LF/LTA/CCL3L1/IL34/IL12RB1/TNF/CRLF1/CCL3L3/CCL19/LEFTY1/IL1A/OSM/JAK3/ADAM8/IL12B/S100A14/IL36RN/NTF3/IL23A/IFNE/CCL24/CCL25/IL37",96
"GO:0003823","GO:0003823","antigen binding","37/4288","64/13841",0.578125,1.86609797691231,4.65270188306531,7.76722546562374e-06,0.000873036142336108,0.000818420283272564,"IGHG1/B2M/HLA-DRA/PPP2R1A/ITGA4/HLA-DQA1/IGLL5/HLA-DPA1/SLAMF1/IL7R/HLA-DMB/ABO/SPON2/HLA-DOB/TSPAN4/HLA-DMA/FCN1/HLA-DPB1/HLA-DQB2/HLA-DOA/HLA-DQB1/IGHE/TAP1/TRAV12-1/HLA-H/SLC7A8/LCK/HLA-DRB1/KLRC2/KLRD1/HLA-DRB4/SLC7A5/IGHD/CD1A/CD1B/HLA-DQA2/FCN2",37
