"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","57/2068","86/6676",0.662790697674419,2.13964733930098,7.12560372355783,1.31218835350812e-11,4.59265923727841e-09,3.82606498864998e-09,"CSF1/CXCR2/CXCR1/CCL18/CXCL10/CCR10/CXCL13/CXCL9/TNFRSF14/CXCL11/CCL4/TNFSF10/IL2RG/CXCL5/CCR2/IL6/CCL7/IL10/CCL20/IL18RAP/CXCR4/CCL8/CCL13/CXCL1/CCL3/CX3CL1/CCR1/CCR4/IL2RA/XCL1/CCL2/XCL2/CCL23/CCR5/IL18/CCL4L2/CXCL3/CCL5/IL18R1/CXCL2/TNFRSF10C/PF4V1/IL2RB/TNFSF14/CCL17/CCR6/LTA/CCL3L1/IL34/TNF/CCL3L3/CCL19/CXCR3/CCR7/CCL24/CCL25/IL37",57
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","121/2068","236/6676",0.51271186440678,1.65515686981608,6.86440713595308,3.13849822790324e-11,5.49237189883067e-09,4.57560004804841e-09,"CSF1/TNFSF12/CXCR2/CXCR1/CCL18/AMH/TNFRSF17/CXCL10/CCR10/TGFB1/EPOR/CXCL13/IL1B/CTF1/IL17RC/CXCL9/TNFSF13B/EDA/IL11RA/TNFRSF14/CXCL11/CCL4/TNFRSF25/IL7R/TNFSF10/IL1RN/IL2RG/INHA/CXCR6/CLCF1/IFNGR1/CXCL5/IL21R/FAS/CCR2/IL6/CCL7/IL10/CCL20/IL18RAP/CXCR4/CCL8/CCL13/IL17RE/CXCL1/CD27/IFNG/CCL3/CX3CL1/CCR1/CCR4/GDF11/IL2RA/XCL1/IL7/CCL2/XCL2/IL17D/CCL23/CCR5/IL18/CCL4L2/CXCL3/FASLG/CCL5/TGFB3/BMP2/IL18R1/CSF2RA/IL23R/CXCL2/IL21/TNFRSF10C/PF4V1/NGFR/CNTFR/IL5RA/IL27RA/TNFRSF13C/IL12A/PRLR/TNFRSF13B/IL2RB/TNFSF14/LTB/CD40LG/BMP4/CCL17/BMP8B/CCR6/GDF10/LTA/INHBB/CCL3L1/AMHR2/IL34/GDF5/GDF15/IL12RB1/IL12RB2/TNF/CCL3L3/IL26/CCL19/BMP8A/IL1A/OSM/IL1RL1/IL12B/IL36RN/TNFRSF9/CXCR3/TNFRSF6B/IL23A/IFNE/CCR7/IFNLR1/CRLF2/CCL24/CCL25/IL37",121
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","41/2068","58/6676",0.706896551724138,2.28203161475355,6.56892067370281,4.97247965263772e-10,5.80122626141067e-08,4.83290127642333e-08,"HLA-DRA/TGFB1/NFATC1/IL1B/HLA-DQA1/TLR2/HLA-DPA1/IL2RG/HLA-DMB/JUN/IFNGR1/IL21R/IL6/STAT1/IL10/IL18RAP/HLA-DOB/IFNG/TLR4/HLA-DMA/HLA-DPB1/IL18/HLA-DQB2/HLA-DOA/TGFB3/HLA-DQB1/IL18R1/IL23R/IL21/IL12A/HLA-DRB1/STAT4/IL12RB1/IL12RB2/TNF/HLA-DRB4/IL1A/TBX21/IL12B/IL23A/HLA-DQA2",41
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","33/2068","43/6676",0.767441860465116,2.47748639287481,6.51099536277183,7.57401536075504e-10,6.62726344066066e-08,5.52105856560302e-08,"TNFRSF17/CCR10/HLA-DRA/TGFB1/ITGA4/HLA-DQA1/TNFSF13B/CD80/HLA-DPA1/ICOS/CD86/MAP3K14/HLA-DMB/IL6/IL10/CXCR4/HLA-DOB/HLA-DMA/HLA-DPB1/CD28/HLA-DQB2/HLA-DOA/HLA-DQB1/ICOSLG/TNFRSF13C/TNFRSF13B/HLA-DRB1/CD40LG/ITGB7/HLA-DRB4/HLA-DQA2/CCL25/AICDA",33
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","52/2068","85/6676",0.611764705882353,1.97492319945386,6.05966867868116,7.31227242581842e-09,5.11859069807289e-07,4.26420939358253e-07,"CSF1/MMP1/HLA-DRA/TGFB1/IL1B/HLA-DQA1/ATP6V1A/TLR2/TNFSF13B/CD80/MMP3/HLA-DPA1/CD86/CTLA4/ATP6V0E2/HLA-DMB/JUN/CXCL5/ATP6V0E1/IL6/CCL20/TCIRG1/VEGFA/HLA-DOB/CXCL1/IFNG/TLR4/CCL3/HLA-DMA/CCL2/HLA-DPB1/IL18/CD28/HLA-DQB2/CXCL3/HLA-DOA/CTSK/CCL5/TGFB3/HLA-DQB1/CXCL2/ITGAL/LTB/HLA-DRB1/CCL3L1/ATP6V1B1/TNF/HLA-DRB4/CCL3L3/IL1A/IL23A/HLA-DQA2",52
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","27/2068","35/6676",0.771428571428571,2.49035645205858,5.92177771285035,2.29740895055207e-08,1.34015522115537e-06,1.11646013912793e-06,"HLA-DRA/IL1B/HLA-DQA1/CD80/HLA-DPA1/CD86/HLA-DMB/FAS/IL6/HLA-DOB/IFNG/HLA-DMA/HLA-DPB1/CD28/HLA-DQB2/HLA-DOA/FASLG/HLA-DQB1/GZMB/PRF1/KLRC1/HLA-DRB1/KLRD1/TNF/HLA-DRB4/IL1A/HLA-DQA2",27
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","46/2068","75/6676",0.613333333333333,1.97998710509349,5.71729752860001,4.83972296564022e-08,2.41986148282011e-06,2.01594475410878e-06,"CR1/TAB1/IRAK4/FCGR3B/HLA-DRA/TGFB1/ITGA4/IL1B/HLA-DQA1/FCGR1A/TLR2/JAK2/HLA-DPA1/FCGR2A/HLA-DMB/MAPK3/JUN/CYBB/IFNGR1/STAT1/IL10/NFKBIB/CR1L/PRKCB/PTGS2/HLA-DOB/FCGR3A/IFNG/TLR4/IRAK1/MAPK12/HLA-DMA/HLA-DPB1/HLA-DQB2/HLA-DOA/MAPK11/TGFB3/HLA-DQB1/IL12A/HLA-DRB1/TNF/HLA-DRB4/IL1A/IL12B/NOS2/HLA-DQA2",46
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","26/2068","34/6676",0.764705882352941,2.46865399931733,5.75114321017066,5.79463398245389e-08,2.53515236732358e-06,2.11199159623649e-06,"HLA-DRA/HLA-DQA1/CD80/HLA-DPA1/CD86/HLA-DMB/FAS/IL10/HLA-DOB/IFNG/HLA-DMA/HLA-DPB1/CD28/HLA-DQB2/HLA-DOA/FASLG/HLA-DQB1/GZMB/PRF1/IL12A/HLA-DRB1/CD40LG/TNF/HLA-DRB4/IL12B/HLA-DQA2",26
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","83/2068","165/6676",0.503030303030303,1.6239024676162,5.43600058478994,1.25924204345974e-07,4.89705239123234e-06,4.07964966126724e-06,"COL27A1/PLEC/SYNE3/INF2/MYH7B/SPTBN4/COL6A1/SUN2/COL6A2/SNTA1/MYH9/OBSCN/SPTBN5/AGRN/COL11A2/COL5A3/LMNA/ATP1B3/DSC2/MYL5/PDLIM2/ATP1B2/ITGA4/TPM2/CAPZA1/ANKRD23/HSPG2/COL9A2/TNNT3/MYOZ3/DAG1/COL4A2/ITGA7/MYL9/DAAM2/LMNB1/LMNB2/SDC1/COL5A1/FLNC/AMPD2/SPTBN1/PDLIM7/JUP/ANKRD2/MYH3/ZYX/DIAPH3/ITGB5/LBR/SGCA/ITGA3/CAPZA2/ELN/FBLN2/BGN/FMNL1/COL1A1/LMOD1/MYH11/FBLN1/COL4A1/TPM1/ENO2/TLN2/FBN3/MYH10/ITGB4/MYH14/ITGA2/DSP/COL6A5/ATP1A2/ATP1A4/ITGA8/COL1A2/FHL2/ITGB7/COL9A1/COL4A6/MYPN/FMN2/SGCG",83
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","50/2068","88/6676",0.568181818181818,1.83422718480746,5.277078393344,3.92158042335574e-07,1.37255314817451e-05,1.14345029186267e-05,"CR1/CSF1/TFRC/HLA-DRA/EPOR/ITGA4/IL1B/HLA-DQA1/FCGR1A/IL11RA/HLA-DPA1/IL7R/HLA-DMB/IL6/FLT3LG/CD2/CR1L/CD3D/CD19/HLA-DOB/HLA-DMA/IL2RA/IL7/HLA-DPB1/ITGA3/HLA-DQB2/HLA-DOA/HLA-DQB1/CR2/CSF2RA/GP1BA/CD8A/CD3E/ITGA2/IL5RA/HLA-DRB1/CD3G/CD8B/CD55/GP9/GYPA/KIT/TNF/HLA-DRB4/FLT3/CD22/IL1A/CD1A/CD1B/HLA-DQA2",50
