"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","entrez","ensembl","gene_name"
1649.77781037787,-3.77503157634308,0.27458441709418,3.55798354201314e-43,7.37676727765584e-39,"SCAF1","58506","ENSG00000126461","SR-related CTD associated factor 1"
635.067187513802,-1.81121399277511,0.130038524897105,1.06112073983555e-42,1.10001081495052e-38,"VAMP2","6844","ENSG00000220205","vesicle associated membrane protein 2"
76829.738154323,-3.92372573249782,0.30480042467283,1.71742036049075e-41,1.18690921113516e-37,"STRF6",NA,NA,"STRF6"
1663.82814899247,-3.491375983024,0.260301018448402,3.8125935799124e-41,1.9761625673081e-37,"SCRIB","23513","ENSG00000180900","scribble planar cell polarity protein"
1375.69036588011,-1.81842896377108,0.135597175257902,1.26241343947644e-40,5.23472356813301e-37,"HDAC5","10014","ENSG00000108840","histone deacetylase 5"
3036.37930851466,-4.11242259073193,0.304489730952111,2.88685921302707e-40,9.02202055685769e-37,"CROCC","9696","ENSG00000058453","ciliary rootlet coiled-coil, rootletin"
29490.6937958623,-4.05991060100779,0.318104148975347,3.04606877432131e-40,9.02202055685769e-37,"MTND5",NA,NA,"MTND5"
115.405611764666,-4.54103685016982,0.350583889258526,1.403987339956e-39,3.57761142233652e-36,"C19orf68",NA,NA,"C19orf68"
42390.5385845395,-3.85632583325325,0.306707611906094,1.55300741817531e-39,3.57761142233652e-36,"cytochrome_b",NA,NA,"cytochrome_b"
3501.11449563805,-1.86437824244875,0.140854679210107,2.53369328795515e-39,5.25310629391742e-36,"ZBTB4","57659","ENSG00000174282","zinc finger and BTB domain containing 4"
657.257880081307,-5.08646385696486,0.358067695378795,6.56145845397321e-39,1.23053151119206e-35,"LOC23117",NA,NA,"LOC23117"
251.420691006196,-3.53208437945058,0.274374782778432,7.12216183586782e-39,1.23053151119206e-35,"ZNF444","55311","ENSG00000167685","zinc finger protein 444"
3247.2597982568,3.12115327181529,0.268319849742476,9.50516758757547e-39,1.51592799687079e-35,"SRGN","5552","ENSG00000122862","serglycin"
7375.59464969948,-3.15313935440228,0.238484701563412,1.70712199772425e-38,2.52812574134406e-35,"TNKS1BP1","85456","ENSG00000149115","tankyrase 1 binding protein 1"
458.465907103288,-4.27404913152317,0.33539987766063,2.10261052257635e-38,2.90622826430503e-35,"BC140723",NA,NA,"BC140723"
1981.50762833595,-2.6138950633339,0.198586219199373,7.92652703195007e-38,1.01411006650989e-34,"CBX7","23492","ENSG00000100307","chromobox 7"
471.021404958522,-3.20356323080203,0.249129792859483,8.31518406919799e-38,1.01411006650989e-34,"SIX5","147912","ENSG00000177045","SIX homeobox 5"
518899.359230593,-3.91845747076373,0.303244519592058,9.53384822958531e-38,1.09814041857774e-34,"TVAS5",NA,NA,"TVAS5"
3452.2018504191,-3.13268837580059,0.243313393990461,1.53822832963212e-37,1.67853094517172e-34,"ATN1","1822","ENSG00000111676","atrophin 1"
