"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","64/2693","130/11230",0.492307692307692,2.05295781084864,6.78199139188026,2.97465220202919e-10,4.98551709060092e-07,4.6154077324116e-07,"B2M/SLAMF7/SELL/ITGA4/FCGR1A/NPDC1/LILRA3/CLEC2B/PILRB/SLAMF6/CD200R1/CRTAM/LILRA5/PIANP/CD3D/KLRB1/CD19/FCGR3A/SIGLEC10/CLEC2D/FCGR2B/ICAM3/CD96/CD300E/KLRF1/COL1A1/CD247/KLRG1/KLRK1/CD226/COL17A1/CD300LG/TREML2/CD8A/LILRB5/LAIR1/CD3E/KLRC1/SIGLEC11/ITGAL/CXADR/LAIR2/TYROBP/TREM1/CD3G/CD8B/CD40LG/VCAM1/KLRD1/CD300LF/ULBP1/COL1A2/SH2D1A/LILRB4/NCR3/ITGB7/SIGLEC7/NCR1/CD22/LILRA4/CD1A/SIGLEC12/CD1B/ICAM4",64
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","36/2693","59/11230",0.610169491525424,2.54444982912384,6.68020610177526,1.37553021448897e-09,1.15269431974175e-06,1.06712186113512e-06,"CXCR2/CXCR1/CXCL10/CCR10/CXCL13/CXCL9/CCRL2/CXCL11/CCL4/CXCR6/CXCL5/CCR2/CCL7/CCL20/CXCR4/CCL13/CXCL1/CCL3/CX3CL1/CCR1/CCR4/XCL1/CCL2/XCL2/CCR5/CXCL3/CCL5/CXCL2/CCL17/CCR6/CCL3L1/CCL3L3/CCL19/CXCR3/CCR7/CCL25",36
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","29/2693","45/11230",0.644444444444444,2.68737880100673,6.36996327123049,9.23633756208056e-09,5.16003391801567e-06,4.77696897070412e-06,"CSF1/FPR1/CXCL10/IL1B/CD80/CD86/CCL4/IL1RN/CCR2/IL6/IL10/CCL20/TYK2/PTGS2/CXCL1/CCL3/CCR1/CCL2/CCR5/IL18/CCL5/CXCL2/PTAFR/IL12A/CCL3L1/CCL3L3/CCL19/IL1A/IL12B",29
"R-HSA-202427","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","18/2693","22/11230",0.818181818181818,3.41187590723424,6.35972468771801,1.7309886069823e-08,7.25284226325586e-06,6.71441370182084e-06,"PTPRC/HLA-DRA/HLA-DQA1/HLA-DPA1/PAG1/PTPRJ/CD3D/HLA-DPB1/HLA-DQB2/HLA-DQB1/CD247/LCK/CD3E/PTPN22/HLA-DRB1/CD3G/HLA-DRB4/HLA-DQA2",18
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","62/2693","138/11230",0.449275362318841,1.87350995872283,5.7988056090199,4.81273711118679e-08,1.45950488788475e-05,1.35115576230506e-05,"COL18A1/COL6A1/COL6A2/LAMA5/MMP1/CAPN5/COL11A2/COL5A3/CAPN10/MMP13/COL7A1/COL16A1/MMP3/CAPN1/HSPG2/COL9A2/BSG/CTSS/COL4A2/SPP1/TIMP2/FURIN/CAPN12/ELANE/COL5A1/COL8A2/ELN/MMP15/LAMB3/CTSK/COL1A1/COL25A1/MMP12/COL4A1/CTSB/COL17A1/COL23A1/FBN3/COL13A1/COL26A1/COL6A5/MMP17/MMP24/ADAMTS8/SCUBE1/CMA1/ADAMTS4/MMP25/COL1A2/ADAMTS18/TMPRSS6/CTSG/CAPN6/ADAM8/COL9A1/COL4A6/MMP7/BCAN/SCUBE3/ACAN/COL10A1/MMP8",62
"R-HSA-202430","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","16/2693","19/11230",0.842105263157895,3.51163836066215,6.15386278782847,5.22495783252297e-08,1.45950488788475e-05,1.35115576230506e-05,"HLA-DRA/HLA-DQA1/HLA-DPA1/CD3D/HLA-DPB1/HLA-DQB2/HLA-DQB1/CD247/LCK/CD3E/PTPN22/ZAP70/HLA-DRB1/CD3G/HLA-DRB4/HLA-DQA2",16
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","35/2693","64/11230",0.546875,2.28050733382844,5.76978090784806,1.17117885684858e-07,2.80413680582604e-05,2.59596636841325e-05,"COL18A1/COL6A1/COL6A2/MMP1/COL11A2/COL5A3/MMP13/COL7A1/COL16A1/MMP3/COL9A2/COL4A2/FURIN/ELANE/COL5A1/COL8A2/MMP15/CTSK/COL1A1/COL25A1/MMP12/COL4A1/CTSB/COL17A1/COL23A1/COL13A1/COL26A1/COL6A5/COL1A2/TMPRSS6/COL9A1/COL4A6/MMP7/COL10A1/MMP8",35
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","113/2693","318/11230",0.355345911949686,1.48181752365205,4.8953083129945,1.78824191210339e-06,0.000374636680585659,0.000346824812952683,"COL27A1/LTBP3/COL18A1/COL6A1/COL6A2/LTBP4/SNTA1/TNXB/LAMA5/MMP1/SH3PXD2A/AGRN/CAPN5/COL11A2/COL5A3/CAPN10/PDGFB/TGFB1/MFAP4/ITGA4/PTPRS/MMP13/LAMB2/COL7A1/COL16A1/MMP3/CAPN1/HSPG2/COL9A2/DDR1/BSG/EMILIN1/DAG1/CTSS/COL4A2/SPP1/MFAP3/TIMP2/FURIN/CAPN12/DDR2/ITGA7/ELANE/SDC1/COL5A1/LUM/ITGB5/ICAM3/COL8A2/PCOLCE/SGCA/P4HA1/ITGA3/ELN/FBLN2/MMP15/LAMB3/BGN/CTSK/TGFB3/BMP2/COL1A1/FBLN1/COL25A1/DSPP/MMP12/COL4A1/CTSB/LAMC3/COL17A1/COL22A1/COL23A1/FBN3/TNN/COL13A1/ITGB4/COL26A1/ITGAL/ADAM12/ITGA2/COL6A5/MMP17/MMP24/BMP4/VCAM1/ADAMTS8/SCUBE1/CMA1/ADAMTS4/ITGA8/MMP25/COL1A2/GDF5/ITGB7/ADAMTS18/TMPRSS6/MATN1/CTSG/VTN/CAPN6/ADAM8/MATN4/COL9A1/COL4A6/ICAM4/MMP7/BCAN/SCUBE3/ACAN/COL10A1/MMP8/SGCG/TNR",113
"R-HSA-202433","R-HSA-202433","Generation of second messenger molecules","21/2693","34/11230",0.617647058823529,2.57563181232389,5.16771829595164,2.93001479149945e-06,0.000496929123848613,0.000460038643733736,"HLA-DRA/HLA-DQA1/NCK1/HLA-DPA1/ITK/CD3D/HLA-DPB1/HLA-DQB2/CD101/HLA-DQB1/PLCG2/CD247/LCP2/GRAP2/LCK/CD3E/ZAP70/HLA-DRB1/CD3G/HLA-DRB4/HLA-DQA2",21
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization","25/2693","44/11230",0.568181818181818,2.36935826891267,5.11142621851864,2.96497090601798e-06,0.000496929123848613,0.000460038643733736,"COL27A1/COL18A1/COL6A1/COL6A2/COL11A2/COL5A3/COL7A1/COL16A1/COL9A2/COL4A2/COL5A1/COL8A2/COL1A1/COL25A1/COL4A1/COL17A1/COL22A1/COL23A1/COL13A1/COL26A1/COL6A5/COL1A2/COL9A1/COL4A6/COL10A1",25
